"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C2, C3, C10, C11, C12, C13, C15, C17, C18, C19, C20";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";12;"C";;;
2;"C4, C5, C6, C7, C8, C9, C14, C16, C21, C22";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";10;"C";;;
3;"D1, D2";"LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder";2;"LED";;;
4;"F1";"Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"Polyfuse";;;
5;"F2, F3, F4, F5";"Fuse_1210_3225Metric_Pad1.42x2.65mm_HandSolder";4;"Polyfuse";;;
6;"FB1";"L_0805_2012Metric_Pad1.05x1.20mm_HandSolder";1;"FerriteBead";;;
7;"H7";"RaspberryPi-CM5-Carrier-Short-NPTH-Silk";1;"~";;;
8;"J1";"CONN67_2199230_TEC";1;"Bus_M.2_Socket_M";;;
9;"J2";"Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal";1;"AudioJack4";;;
10;"J3";"RJ45_Pulse_JK00177NL_Horizontal";1;"RJ45_JK00177";;;
11;"J4";"HDMI_A_Amphenol_10029449-x01xLF_Horizontal";1;"HDMI_A";;;
12;"J5, J11";"USB_C_Receptacle_Amphenol_12401548E4-2A_CircularHoles";2;"USB_C_Receptacle";;;
13;"J6";"USB3_A_Molex_48406-0001_Horizontal_Stacked";1;"USB3_A_Stacked";;;
14;"J7";"microSD_HC_Hirose_DM3AT-SF-PEJM5";1;"Micro_SD_Card_Det1";;;
15;"J9";"FanPinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Pin";;;
16;"J10";"USB_A_Wuerth_61400826021_Horizontal_Stacked";1;"USB_A_Stacked";;;
17;"L1";"L_Coilcraft_XAL4040-XXX";1;"L";;;
18;"Q1";"SOT-23";1;"BSS138";;;
19;"R1, R2, R3, R4, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R19, R20, R21, R22, R23, R24, R25, R26";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";22;"R";;;
20;"R5, R6, R17, R18";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";4;"R";;;
21;"SW1";"SW_PUSH_6mm_H5mm";1;"SW_Push";;;
22;"U1, U6";"WQFN-42-1EP_3.5x9mm_P0.5mm_EP2.05x7.55mm_ThermalVias";2;"HD3SS6126";;;
23;"U2, U7";"Texas_R-PUQFN-N10";2;"BQ24392";;;
24;"U3";"SOT-23-6";1;"TPS563200";;;
25;"U4";"QFN-64-1EP_9x9mm_P0.5mm_EP6x6mm_ThermalVias";1;"TUSB8041";;;
26;"U5";"DFN-8-1EP_3x3mm_P0.5mm_EP1.66x2.38mm";1;"LT3080xDD";;;
27;"U8";"QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm";1;"WM8731CLSEFL";;;
28;"U9";"QSOP-16_3.9x4.9mm_P0.635mm";1;"CH334R";;;
29;"Y1, Y2, Y3";"Resonator-3Pin_W6.0mm_H3.0mm";3;"Crystal_GND24";;;
